case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_073,8.4482952,2.1539164,9.9416025,0.071734982,0.088662678,0.042163009,12.020137,60.540514,0.01259197924,62.732885,4.591888,59.667373,0.004810341527,63.496617,-0.01990464566,-0.007711146165,61.260645,-0.1047573723,-0.03904005026,1.139762,0.002095,2601
random_interior_074,8.7489722,2.1634315,7.1994794,0.042795678,0.060037195,0.046371951,13.625576,65.455272,0.02828325439,67.697080,5.325867,65.774877,0.01108795911,68.512675,-0.04273677492,-0.01465532503,65.709507,-0.2075747382,-0.06705270119,1.353964,0.002152,2601
random_interior_075,2.2484368,7.6810754,9.1874022,0.027081163,0.085904715,0.080127886,11.051798,48.653669,0.009259081995,45.678024,4.884519,49.517041,0.004092199513,46.041997,-0.01746190227,-0.008265562695,52.666305,-0.08377896698,-0.04551039046,1.686765,0.002167,2601
random_interior_076,4.7151929,5.1167005,2.0099768,0.078707955,0.060280334,0.087522472,11.829499,61.058280,0.01613131604,63.825117,5.042348,62.168319,0.00687600609,63.825117,-0.02470470529,-0.008889856324,64.023659,-0.1363651716,-0.04932994124,1.183600,0.002173,2601
random_interior_077,9.5467297,2.7812771,4.3098962,0.045407794,0.02709428,0.061102746,11.496716,53.005705,0.02606135035,54.994951,5.132229,55.438187,0.01165505654,56.550494,-0.04877079912,-0.02233728798,54.228964,-0.2266851668,-0.102019771,1.085998,0.002144,2601
random_interior_078,8.0928864,8.5485699,8.5942097,0.032314978,0.023929917,0.057846698,11.604654,53.587838,0.02650821527,55.232853,5.040991,54.775119,0.01159363125,56.180304,-0.04984093849,-0.02330490626,53.257816,-0.2284274418,-0.1022604491,1.195705,0.002048,2601
random_interior_079,2.1789131,6.1245017,1.6457772,0.046415993,0.074172332,0.023915633,14.009874,64.292102,0.04948910072,65.171624,6.086472,64.213682,0.02150012564,65.171624,-0.07615136816,-0.02734980945,64.089620,-0.3532444504,-0.1230293054,1.068192,0.002072,2601
random_interior_080,6.1149546,9.1528085,2.3350022,0.048960781,0.06194803,0.081388906,12.300440,59.303420,0.01648174643,60.747380,5.439547,61.107217,0.007288620062,60.747380,-0.02613490552,-0.0097396081,62.739958,-0.1339931405,-0.05259581843,1.388095,0.002091,2601
random_interior_081,1.6860679,3.0832868,2.640021,0.090079861,0.037595527,0.081839992,11.923054,54.792539,0.02629207743,53.896070,5.266904,56.594495,0.0116142938,53.896070,-0.04484546095,-0.01834922654,59.087675,-0.2205146255,-0.1016659092,1.197281,0.002031,2601
random_interior_082,1.2781454,1.8283744,5.4090796,0.09594828,0.063903947,0.063706649,12.478826,58.481405,0.02559031425,56.660184,5.353399,58.388196,0.01097821008,57.594196,-0.04099162933,-0.01578697329,61.491700,-0.2050698852,-0.08887691049,1.151542,0.002439,2601
random_interior_083,2.4877592,5.0957108,4.3565422,0.042147405,0.073262197,0.08360383,12.703490,58.572417,0.01808905415,58.428533,5.606147,59.853547,0.007982837502,58.579615,-0.02937629229,-0.0112828589,61.594117,-0.1423943707,-0.05919542936,1.458182,0.003767,2601
random_interior_084,1.5525012,7.1074938,6.7188785,0.028323126,0.05702702,0.023166508,13.255270,60.935422,0.06582633462,61.703667,5.621225,61.253197,0.02813389465,62.103511,-0.1085130947,-0.04296662223,60.414758,-0.4966050076,-0.1901815071,1.048910,0.002207,2601
