case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_044,7.7447274,0.10671163,21.352620,98.102117,0.06242392803,98.635879,8.702024,99.071499,0.02562768466,99.107666,-0.06388905606,-0.0008598403815,98.773860,-0.2923478636,-0.005245099979,1.531915,0.004719,2601
one_layer_random_045,3.9475596,0.072077133,20.770346,96.192242,0.3205077751,97.249231,8.056937,96.506528,0.1252379439,97.402750,-0.3370968175,-0.01579510946,95.402827,-1.543102695,-0.04252643388,1.967575,0.004666,2601
one_layer_random_046,3.1224864,0.12186866,19.480072,91.588463,0.1018508752,93.984611,8.189417,93.256643,0.04306161146,94.642009,-0.1138084479,-0.01019939884,91.039338,-0.5228465027,-0.03358776459,1.709473,0.003565,2601
one_layer_random_047,5.6030007,0.11628886,20.611162,95.554781,0.06733527753,96.815735,8.527336,96.881532,0.02803940495,97.389778,-0.07124055435,-0.002979472942,95.864508,-0.3266932658,-0.01189791878,1.666729,0.005697,2601
one_layer_random_048,1.6402559,0.067122924,20.686871,95.970390,0.9182625635,97.085127,7.958670,96.222302,0.35567212,97.209629,-0.968858637,-0.04891762552,95.029366,-4.438866335,-0.1293873027,1.951113,0.002929,2601
one_layer_random_049,2.4794423,0.083346194,20.459502,94.960239,0.3482796729,96.362165,8.060637,95.429109,0.1383377343,96.596402,-0.3723598125,-0.02262341752,93.969858,-1.702288093,-0.06238723145,1.805963,0.002929,2601
one_layer_random_050,8.1609641,0.13397068,21.317978,98.517686,0.03399092093,98.928681,9.111065,100.587743,0.01458077066,99.526845,-0.03451919432,0.0001392704375,100.755098,-0.1594472117,-0.003712139829,1.566120,0.006180,2601
one_layer_random_051,6.56331,0.11467988,20.967551,96.807969,0.06051398002,97.710991,8.648722,98.051435,0.02512799151,98.257343,-0.06296344242,-0.001679768397,97.416837,-0.2886077646,-0.008066254619,2.083450,0.007293,2601
one_layer_random_052,3.1261501,0.095712699,20.356197,94.524393,0.1936841026,96.056255,8.161495,95.253330,0.07829559537,96.415749,-0.2081696126,-0.01309742548,93.727800,-0.9514748704,-0.03869769151,1.679792,0.002854,2601
one_layer_random_053,4.6547968,0.096721613,20.645358,95.550354,0.1284842672,96.797700,8.289749,96.290311,0.05201403637,97.163487,-0.1361527184,-0.00672157837,95.101294,-0.6223397518,-0.02086102226,1.778443,0.008395,2601
